"","x"
"536","Osmia montana"
"537","Diadasia laticauda"
"538","Anthophora flavocincta"
"539","Chelostoma phaceliae"
"540","Trachusa perdita"
"541","Megachile onobrychidis"
"542","Hylaeus punctatus"
"543","Andrena vandykei"
"544","Andrena duboisi"
"545","Andrena baeriae"
"546","Andrena cercocarpi"
"547","Andrena submoesta"
"548","Diadasia ochracea"
"549","Diadasia nitidifrons"
"550","Osmia clarescens"
"551","Andrena sola"
"552","Anthidium palliventre"
"553","Panurginus melanocephalus"
"554","Osmia gabrielis"
"555","Eucera lunata"
"556","Ashmeadiella gillettei"
"557","Ashmeadiella opuntiae"
"558","Ashmeadiella chumashae"
"559","Ashmeadiella aridula"
"560","Osmia calla"
"561","Lasioglossum pavoninum"
"562","Diadasia consociata"
"563","Andrena gnaphalii"
"564","Megachile wheeleri"
"565","Diadasia sphaeralcearum"
"566","Andrena caspica"
"567","Calliopsis subalpina"
"568","Panurginus bilobatus"
"569","Dufourea dentipes"
"570","Dufourea tuolumne"
"571","Colletes fulgidus"
"572","Macrotera arcuata"
"573","Andrena nivalis"
"574","Calliopsis scutellaris"
"575","Chelostoma minutum"
"576","Trachusa bequaerti"
"577","Centris tiburonensis"
"578","Andrena chlorura"
"579","Perdita montereyensis"
"580","Andrena chapmanae"
"581","Andrena vulpicolor"
"582","Melissodes robustior"
"583","Ashmeadiella bigeloviae"
"584","Perdita ciliata"
"585","Andrena concinnula"
"586","Ashmeadiella rufipes"
"587","Andrena nevadensis"
"588","Osmia nigrobarbata"
"589","Perdita triangulifera"
"590","Perdita exilis"
"591","Andrena cerasifolii"
"592","Lasioglossum perichlarus"
"593","Perdita rhois"
"594","Perdita lateralis"
"595","Perdita dammersi"
"596","Anthophorula euphorbiae"
"597","Andrena caerulea"
"598","Hesperapis pellucida"
"599","Melissodes tristis"
"600","Hesperapis ilicifoliae"
"601","Perdita isocomae"
"602","Hesperapis larreae"
"603","Andrena atypica"
"604","Perdita callicerata"
"605","Hoplitis linsdalei"
"606","Andrena striatifrons"
"607","Perdita jucunda"
"608","Anthophora phaceliae"
"609","Osmia granulosa"
"610","Andrena miserabilis"
"611","Perdita thelypodii"
"612","Panurginus occidentalis"
"613","Anthophorula albicans"
"614","Perdita cowaniae"
"615","Perdita flavipes"
"616","Calliopsis pugionis"
"617","Ashmeadiella californica"
"618","Andrena subaustralis"
"619","Perdita chrysothamni"
"620","Calliopsis phaceliae"
"621","Perdita leucostoma"
"622","Osmia albolateralis"
"623","Perdita bilobata"
"624","Epeolus mesillae"
"625","Panurginus gracilis"
"626","Townsendiella rufiventris"
"627","Melissodes lutulentus"
"628","Lasioglossum nigrescens"
"629","Osmia cyanopoda"
"630","Osmia ribifloris"
"631","Perdita cleomellae"
"632","Megachile pugnata"
"633","Perdita covilleae"
"634","Bombus vagans"
"635","Melissodes microstictus"
"636","Osmia integra"
"637","Calliopsis fracta"
"638","Chelostoma bernardinum"
"639","Melissodes tessellatus"
"640","Hesperapis rufipes"
"641","Osmia liogastra"
"642","Atoposmia oregona"
"643","Osmia regulina"
"644","Ashmeadiella prosopidis"
"645","Calliopsis larreae"
"646","Hoplitis fulgida"
"647","Ashmeadiella difugita"
"648","Megachile xerophila"
"649","Perdita innotata"
"650","Perdita punctulata"
"651","Perdita inornata"
"652","Ashmeadiella salviae"
"653","Perdita cladothricis"
"654","Anthophorula albata"
"655","Diadasia lutzi"
"656","Calliopsis bernardinensis"
"657","Perdita trimaculata"
"658","Osmia rostrata"
"659","Calliopsis trifolii"
"660","Ashmeadiella foveata"
"661","Melissodes ablusus"
"662","Perdita scotti"
"663","Osmia nifoata"
"664","Osmia calcarata"
"665","Hoplitis pilosifrons"
"666","Perdita gracilis"
"667","Brachymelecta larreae"
"668","Andrena candidiformis"
"669","Coelioxys apacheorum"
"670","Calliopsis linsleyi"
"671","Melissodes paululus"
"672","Perdita obliqua"
"673","Melissodes plumosus"
"674","Perdita dentata"
"675","Osmia gaudiosa"
"676","Perdita timberlakei"
"677","Osmia cyanella"
"678","Perdita media"
"679","Stelis calliphorina"
"680","Nomada suavis"
"681","Perdita atrata"
"682","Andrena subtilis"
"683","Perdita ericameriae"
"684","Ashmeadiella femorata"
"685","Andrena vicinoides"
"686","Anthophorula nitens"
"687","Andrena microchlora"
"688","Ashmeadiella cazieri"
"689","Anthophora salazariae"
"690","Perdita yosemitensis"
"691","Perdita euphorbiae"
"692","Melissodes dagosus"
"693","Andrena bernardina"
"694","Andrena salicifloris"
"695","Andrena blaisdelli"
"696","Atoposmia viguierae"
"697","Melissodes personatellus"
"698","Hoplitis semirubra"
"699","Andrena impolita"
"700","Melissodes pallidisignatus"
"701","Dioxys pomonae"
"702","Svastra obliqua"
"703","Osmia longula"
"704","Dufourea linanthi"
"705","Anthophorula torticornis"
"706","Calliopsis comptula"
"707","Ashmeadiella cockerelli"
"708","Perdita eriastri"
"709","Hoplitis bullifacies"
"710","Xenoglossa mustelina"
"711","Dianthidium singulare"
"712","Anthophora linsleyi"
"713","Neolarra vandykei"
"714","Dufourea versatilis"
"715","Hesperapis laticeps"
"716","Habropoda pallida"
"717","Andrena quintiliformis"
"718","Melissodes menuachus"
"719","Osmia nigrifrons"
"720","Andrena semipunctata"
"721","Andrena transnigra"
"722","Perdita eximia"
"723","Osmia giliarum"
"724","Osmia lignaria"
"725","Perdita interserta"
"726","Perdita exclamans"
"727","Melissodes moorei"
